Ciudad,Departamento,Latitud,Longitud,Radio,Monogramas,Tweets,Vocabulario,Usuarios
Abrego,Norte de Santander,"8,076234","-73,230879",7,36437,3798,6190,505
Acevedo,Huila,"1,805187","-75,897116",7,377893,36674,30211,2867
Aguachica,Cesar,"8,306008","-73,646770",7,420183,41741,30045,2936
Aguadas,Caldas,"5,609808","-75,459640",7,20995,2161,5015,584
Agustín Codazi,Cesar,"10,034758","-73,254658",7,98216,9563,12839,1085
Aipe,Huila,"3,222116","-75,249843",7,21343,2231,4566,920
Albania,La Guajira,"11,160661","-72,596295",7,170333,15201,19315,1896
Algeciras,Huila,"2,522487","-75,321145",7,15201,1541,3882,556
Amalfi,Antioquia,"6,908181","-75,086641",7,13517,1209,3667,289
Andes,Antioquia,"5,656421","-75,888409",7,96791,9828,13251,2289
Apartadó,Antioquia,"7,866667","-76,666667",15,379651,33063,33808,3409
Aquitania,Boyacá,"5,519735","-72,892974",7,26991,2814,5020,1282
Arauca,Arauca,"7,084512","-70,755366",15,386514,34929,31818,2663
Arauquita,Arauca,"7,029356","-71,438253",7,14351,1302,3845,289
Armenia,Quindio,"4,533889","-75,681111",15,7828812,836770,166529,32700
Astrea,Cesar,"9,495736","-73,980582",7,10475,884,2954,217
Ayapel,Cordoba,"8,309327","-75,167127",7,30183,2847,6321,669
Baranoa,Atlantico,"10,791986","-74,932762",7,2389928,271659,88189,11827
Barbosa_Antioquia,Antioquia,"6,438957","-75,404312",7,1051900,103047,58262,8503
Barbosa_Santander,Santander,"5,934087","-73,621241",7,241966,23989,23004,3162
Barrancabermeja,Santander,"7,065278","-73,854722",15,4527393,448977,125706,21231
Barranquilla,Atlántico,"10,983894","-74,853037",15,18255373,1915978,320466,58346
Becerril,Cesar,"9,703697","-73,287571",7,32799,3066,6517,573
Belen de Umbría,Risaralda,"5,200924","-75,873650",7,155188,16403,17150,1846
Bogotá,Bogotá D.C.,"4,649178","-74,062827",15,35173036,3060945,435844,160909
Bolivar,Valle del Cauca,"4,338647","-76,195539",7,546339,51986,33773,3062
Bosconia,Cesar,"9,973157","-73,897437",7,108954,10256,13868,1617
Bucaramanga,Santander,"7,125393","-73,119804",15,10798639,1001817,209362,36534
Buenaventura,Valle del Cauca,"3,880099","-77,031164",15,2754151,275894,101724,15321
Buga,Valle del Cauca,"3,899184","-76,334668",7,1462903,151488,50601,7086
Cali,Valle del Cauca,"3,437222","-76,522500",15,14143550,1271290,257065,53492
Campo de la Cruz,Atlantico,"10,379965","-74,899532",7,190395,18651,19706,1873
Caparrapí,Cundinamarca,"5,345666","-74,499586",7,44041,4268,8324,1086
Cáqueza,Cundinamarca,"4,403687","-73,950862",7,350674,36492,28883,5798
Carepa,Antioquia,"7,755375","-76,664208",7,51448,4358,9495,823
Cartagena,Bolívar,"10,399722","-75,514444",15,8819169,817479,208590,47314
Cartagena del Chairá,Caquetá,"1,334457","-74,852719",7,6445,544,2094,144
Caucasia,Antioquia,"7,978691","-75,215381",7,341461,30702,30704,2728
Cereté,Cordoba,"8,884229","-75,809340",7,1127403,108552,56776,6015
Chaparral,Tolima,"3,718741","-75,499171",7,61120,6400,9754,733
Chigorodó,Antioquia,"7,665121","-76,686267",7,57341,5178,10099,931
Chimichagua,Cesar,"9,254786","-73,821371",7,77599,7177,11436,1116
Chinú,Cordoba,"9,101170","-75,413781",7,310334,29488,26639,2090
Chiquinquirá,Boyaca,"5,629273","-73,933530",7,17552,1666,4291,535
Chiriguaná,Cesar,"9,362797","-73,607647",7,52603,4858,8836,674
Ciénaga,Magdalena,"11,009098","-74,263283",7,693872,69630,41485,5616
Ciénaga de Oro,Cordoba,"8,879258","-75,638885",7,1584110,153898,68656,7318
Cimitarra,Santander,"6,314286","-73,949943",7,12662,1208,3499,312
Concordia,Antioquia,"6,045958","-75,911873",7,674191,73304,40603,4895
Corinto,Cauca,"3,174431","-76,264940",7,518395,47646,38778,4919
Coyaima,Tolima,"3,796744","-75,199390",7,135662,14164,16030,1762
Cúcuta,Norte de Santander,"7,893907","-72,507821",15,11449533,1027741,240378,43775
Cumaral,Meta,"4,266637","-73,505038",7,155017,15640,18255,3843
Curumaní,Cesar,"9,201104","-73,560119",7,73273,6606,11029,1050
Dagua,Valle del Cauca,"3,656684","-76,687861",7,476748,44406,36083,5898
Dibulla,La Guajira,"11,271885","-73,312042",7,19403,1901,4388,658
Doradal,Antioquia,"5,899865","-74,738995",7,93733,9239,13459,2624
Duitama,Boyaca,"5,826076","-73,065231",5,1193888,118498,55567,7193
El Bagre,Antioquia,"7,694009","-74,923384",7,18953,1705,4485,380
El Banco,Magdalena,"9,003549","-73,991417",7,86772,7768,12429,799
El Bordo,Cauca,"2,118599","-76,997487",7,14128,1336,3815,450
El Carmen,Norte de Santander,"8,511371","-73,449447",7,49677,4733,7952,629
El Carmen de Bolívar,Bolivar,"9,717688","-75,140831",7,91983,9235,12705,1475
El Cerrito,Valle del Cauca,"3,683550","-76,328125",7,430899,41434,33403,5825
El Charco,Nariño,"2,479322","-78,114599",10,8069,725,2605,223
El Copey,Cesar,"10,148998","-73,969009",7,53866,5264,9040,897
El Doncello,Caquetá,"1,680064","-75,292112",7,15717,1437,3942,421
Espinal,Tolima,"4,169635","-75,046408",7,302647,32342,24744,2975
Florencia,Caquetá,"1,614382","-75,606229",15,540882,49528,38960,3560
Florida,Valle del Cauca,"3,321356","-76,244137",7,6676313,615491,168243,30475
Fonseca,Cesar,"10,885464","-72,858399",7,739265,70517,42163,2898
Fresno,Tolima,"5,153370","-75,052095",7,227187,23031,20989,2424
Fundación,Magdalena,"10,517220","-74,207390",7,290088,28183,24993,2258
Fusagasugá,Cundinamarca,"4,338789","-74,419436",7,699370,67961,45011,8314
Garagoa,Boyaca,"5,082474","-73,373822",7,44747,4221,8321,1002
Garzón,Huila,"2,195446","-75,645021",7,279728,29034,24433,1743
Gigante,Huila,"2,385240","-75,550589",7,246027,26880,21032,1946
Girardot,Cundinamarca,"4,311394","-74,828187",7,1590375,163977,68441,16188
Granada,Meta,"3,544916","-73,740387",7,223780,24018,22262,2029
Guadalupe,Huila,"2,025582","-75,767732",7,38975,3846,7497,741
Guaduas,Cundinamarca,"5,070557","-74,618854",7,279647,27022,26321,5891
Guamal,Magdalena,"9,144548","-74,235070",7,240532,23828,10060,866
Guamo,Tolima,"4,032191","-74,980824",7,88297,9835,11605,1112
Guatapé,Antioquia,"6,231148","-75,162524",7,12392870,1191017,254828,68278
Hatonuevo,La Guajira,"11,068323","-72,768215",7,220750,20410,22507,2064
Honda,Tolima,"5,203455","-74,737952",7,94659,9646,13141,2301
Ibagué,Tolima,"4,438889","-75,232222",15,11264915,1201255,212592,44867
Ipiales,Nariño,"0,826265","-77,672631",7,244860,25695,23310,3086
Isnos,Huila,"1,932400","-76,221478",7,388915,37857,30741,2928
Istmina,Choco,"5,157810","-76,696316",7,40590,3624,7881,614
Jamundí,Valle del Cauca,"3,261315","-76,559418",7,991275,91542,57085,9656
La Ceja,Antioquia,"6,027674","-75,449149",5,351855,32320,31407,5203
La Dorada,Caldas,"5,472794","-74,703090",7,185554,17571,20540,2566
La Hormiga,Putumayo,"0,413407","-76,913774",7,12581,1136,3497,272
La Jagua de Ibirico,Cesar,"9,562019","-73,345560",7,144094,13725,16633,1171
La Loma,Cesar,"9,619100","-73,603347",7,73665,6345,11216,1101
La Mesa,Cundinamarca,"4,631098","-74,472568",7,1547907,161379,65086,13594
La Plata,Huila,"2,388901","-75,909296",7,214376,23525,18763,1460
La Unión,Valle del Cauca,"4,534151","-76,108881",7,139001,14146,15289,1692
Leticia,Amazonas,"-4,203122","-69,960009",7,83356,7693,9480,1089
Libano,Tolima,"4,920999","-75,080682",7,66780,6442,10334,1174
Lorica,Cordoba,"9,242533","-75,836756",7,212781,19632,22706,1958
Luruaco,Atlantico,"10,609925","-75,149898",7,556791,54458,38728,3978
Magangué,Bolívar,"9,242024","-74,754671",15,4052664,390592,121999,16514
Mahates,Bolivar,"10,232697","-75,195429",7,292526,27791,24690,3275
Maicao,Guajira,"11,380213","-72,277558",7,466137,43520,34902,3023
Majagual,Sucre,"8,541272","-74,636876",7,19670,1935,4530,375
Málaga,Santander,"6,703879","-72,738668",7,92229,9867,11847,2875
Manaure,La Guajira,"11,772820","-72,467716",7,92638,8742,12078,1218
Manizales,Caldas,"5,068890","-75,517383",15,6650699,680035,151416,24299
Maria la Baja,Bolivar,"9,983817","-75,320691",7,62998,6087,10022,1020
Mariquita,Tolima,"5,227572","-75,042673",7,236839,23564,21272,2413
Medellín,Antioquia,"6,251840","-75,563591",15,16835453,1534827,297780,71463
Melgar,Tolima,"4,203901","-74,698929",7,1019512,102296,54446,15244
Mitu,Vaupés,"1,252217","-70,251170",15,7604,648,2423,162
Mocoa,Putumayo,"1,152362","-76,659831",7,145928,14982,17018,1128
Mompos,Bolivar,"9,243599","-74,442049",7,420367,40995,33261,2808
Moniquirá,Boyacá,"5,876029","-73,591143",7,187838,19029,19748,2701
Montelíbano,Cordoba,"7,976845","-75,434762",7,172328,15788,19769,1378
Montería,Cordoba,"8,747984","-75,881428",15,6435110,611965,157643,16395
Morales_Bolivar,Bolívar,"8,274039","-73,875943",7,438841,43512,30828,3003
Natagaima,Tolima,"3,624833","-75,097995",7,15350,1587,3703,434
Necoclí,Antioquia,"8,427217","-76,802015",7,15798,1554,4023,542
Neiva,Huila,"2,927299","-75,281885",15,3285300,320638,103449,12017
Nueva Granada,Magdalena,"9,801704","-74,400852",7,67811,6253,10288,662
Ocaña,Norte de Santander,"8,252133","-73,388326",7,2133243,220970,74398,6674
Orito,Putumayo,"0,667589","-76,873426",7,17073,1595,4349,339
Ortega,Tolima,"3,935795","-75,228791",7,211657,23371,20300,2025
Pacho,Cundinamarca,"5,132025","-74,167448",7,1345909,142424,39894,5608
Pailitas,Cesar,"8,959194","-73,630088",7,26054,2502,5720,720
Paipa,Boyacá,"5,779813","-73,132277",5,1920399,192099,72978,10219
Pamplona,Norte de Santander,"7,372022","-72,667846",7,445076,47278,31499,2657
Pasto,Nariño,"1,213611","-77,281111",15,1329495,121557,64646,8057
Paz de Ariporo,Casanare,"5,880660","-71,901688",7,30879,2742,6249,504
Pelaya,Cesar,"8,690475","-73,671460",7,34901,3317,6542,631
Pensilvania,Caldas,"5,383246","-75,166400",7,50518,5091,8828,1033
Pereira,Risaralda,"4,813333","-75,696111",15,8435592,884092,176380,31705
