	Acandí	Riosucio	Bahía Solano (o Ciudad Mutis)	Coredó	Tutunendo	Arusí	Cérteguí	Nóvita	Cartago	Toro	Roldanillo	Buenaventura	Sevilla	Andalucía	Darién (o Calima)	Buga	Dagua	Ginebra	Palmira	Cali	Florida	Robles	Timbiquí	San Juan de Mechengue	Santander de Quilichao	Morales	Silvia	Patía (El Bordo)	Bolívar	Popayán	La Sierra	Iscuandé	Tumaco	Barbacoas1	Ricaurte2	La Cruz	La Florida	Potosí	Mocoa	San Antero	Puerto Escondido	Cereté	Sahagún	Tres Palmas	Tierra Alta	Planeta Rica	Ayapel	Turbo	Nechí	Caucasia	Chigorodó	Ituango	Dabeiba	Frontino	Cáceres	Zaragoza	Remedios	Yarumal	Amalfi	Yolombó	Santa Fe de Antioquia	San Pedro1	Urrao	Heliconia	Concordia	Montebello	Betania	Jardín	Santo Domingo	Puerto Berrío	Rionegro1	Cocorná	Sonsón	Mistrató	Santuario	Pereira	Pácora	Samaná	Aranzazu	Manzanares	Manizales	Calarcá	Mariquita	Herveo	El Líbano	Ambalema	Santa Isabel	San Antonio	Ibagué	Coello	San Luis	Cunday	Ortega	Purificación	Chaparral	Planadas	Natagaima	Alpujarra	Baraya	Santa María	Nátaga	Gigante	Neiva	Timaná	San Agustín	San Vicente del Caguán	Florencia	San Onofre	Tolú	San Pedro2	Corozal	San Benito Abad	Majagual	Puerto Colombia	Luruaco	Manatí	Villanueva	La Boquilla	Turbaco	Mahates	San Basilio de Palenque	María La Baja	San Juan Nepomuceno	El Carmen2	Mompós	San Martín de Loba	Simití	Bocas del Rosario	Puerto Wilches	Sabana de Torres	Suratá	Barrancabermeja	Rionegro2	Tona	Girón	San Vicente de Chucurí	Guaca	Aratoca	Málaga	Cimitarra	Suaita	Vélez	Jesús María	Simacota	Onzaga	Charalá	Güicán	Moniquirá	Saboyá	Muzo	Ráquira	Jericó	Socha	Duitama	Sotaquirá	Monguí	Firavitoba	Labranzagrande	Siachoque	Aquitania	Turmequé	Tenza	Miraflores	San Luis de Gaceno	Caparrapí	Paime	Simijaca	Ubaté	Villapinzón	Pacho	Guaduas	Tenjo	Facatativá	La Mesa	Bogotá	Nemocón	Manta	Guasca	Gachetá	Gachalá	Fómeque	Medina	Tocaima	Pasca	Pandi	Gutiérrez	Quetame	Restrepo	San Martín	Puerto López	Sitionuevo	Taganga	Ciénaga	Aracataca	Pivijay	Pedraza	Plato	El Difícil	Riohacha	Palomino	Barbacoas2	Uribia	Carraipía	Fonseca	Caracolí	Valledupar	Codazzi	Chiriguaná	Pailitas	La Jagua de Ibirico	Gamarra	Loma de Corredor	El Tarra	El Carmen1	San Calixto	Ocaña	Ábrego	Sardinata	Villacaro	Salazar de las Palmas	Puerto Villamizar	Ricaurte1	Cúcuta	Cáchira	Bochalema	Herrán	Pamplona	San Bernardo de Bata	Chitagá	Arauca	Tame	Pore	Trinidad	Yopal	Tauramena	Maní	Orocué
Acandí	0	0.708687	0.832082	0.793783	0.824985	0.812425	0.822591	0.800023	0.86974	0.872503	0.874619	0.8334	0.878813	0.857875	0.854179	0.872755	0.871814	0.866787	0.877079	0.879589	0.861293	0.881272	0.85565	0.85676	0.846966	0.854262	0.879609	0.852539	0.844472	0.862553	0.872322	0.857067	0.85697	0.843036	0.88831	0.856102	0.84916	0.862477	0.835556	0.755984	0.735094	0.780287	0.752585	0.774046	0.761922	0.772618	0.77847	0.716243	0.790132	0.793156	0.804576	0.875918	0.847697	0.843454	0.797665	0.818238	0.867483	0.846728	0.83523	0.831493	0.858173	0.838913	0.863038	0.866942	0.852898	0.853298	0.838909	0.874509	0.852826	0.847531	0.835637	0.840918	0.863299	0.865605	0.875003	0.876951	0.85779	0.863101	0.862427	0.897497	0.874716	0.878207	0.872662	0.86703	0.887644	0.826939	0.85713	0.847145	0.882856	0.883751	0.850964	0.902583	0.874345	0.865775	0.860755	0.851897	0.873337	0.863129	0.883215	0.872181	0.858914	0.870051	0.848111	0.85617	0.86027	0.860243	0.852989	0.723247	0.765702	0.778037	0.729886	0.728067	0.741212	0.764147	0.780235	0.775246	0.756215	0.748601	0.76017	0.752061	0.754217	0.775121	0.782582	0.750362	0.734957	0.782456	0.808786	0.809748	0.852092	0.863684	0.860341	0.841012	0.874885	0.870525	0.90038	0.891266	0.878557	0.893858	0.87497	0.895293	0.880163	0.883001	0.884813	0.873447	0.88812	0.868392	0.885603	0.870387	0.842653	0.851419	0.886585	0.875504	0.885599	0.867828	0.89423	0.877237	0.88079	0.864816	0.852404	0.885058	0.875727	0.89691	0.893356	0.870451	0.889355	0.912768	0.891394	0.896687	0.87386	0.909328	0.874175	0.894692	0.866312	0.870624	0.873198	0.895969	0.894614	0.894074	0.880166	0.878887	0.866749	0.881326	0.854777	0.893705	0.887633	0.867387	0.864818	0.878676	0.890383	0.860988	0.768948	0.766944	0.749237	0.796111	0.793696	0.714303	0.770701	0.779112	0.797022	0.789837	0.809586	0.813701	0.815913	0.811904	0.802592	0.819915	0.80867	0.815538	0.831031	0.79758	0.804299	0.804102	0.870237	0.883043	0.870605	0.82981	0.844646	0.878774	0.87554	0.87362	0.890028	0.890926	0.855798	0.870331	0.894025	0.880758	0.886744	0.887378	0.884795	0.855076	0.901972	0.83636	0.865442	0.867154	0.846574	0.851015	0.884327
Riosucio	0.708687	0	0.784584	0.788506	0.792963	0.768797	0.763081	0.797763	0.822853	0.832943	0.853601	0.855029	0.8411	0.834865	0.851538	0.851804	0.839809	0.854499	0.855032	0.872234	0.836879	0.861872	0.815124	0.806731	0.853781	0.846478	0.846499	0.86123	0.878346	0.858238	0.872094	0.839812	0.855185	0.84153	0.867797	0.88342	0.885542	0.876801	0.838577	0.8143	0.750626	0.79306	0.798503	0.825009	0.828097	0.819539	0.820419	0.753148	0.763662	0.806891	0.813915	0.870664	0.847464	0.860462	0.815805	0.809388	0.83334	0.844407	0.849478	0.857082	0.845231	0.860679	0.839508	0.840523	0.854869	0.851881	0.830355	0.855914	0.846752	0.838207	0.839742	0.845597	0.833851	0.83436	0.846756	0.853953	0.831589	0.822642	0.852854	0.864836	0.832962	0.841506	0.843708	0.848382	0.848727	0.836336	0.858929	0.86553	0.847838	0.897121	0.877724	0.88178	0.864587	0.835519	0.867368	0.844499	0.873503	0.863299	0.859968	0.851624	0.857605	0.865854	0.866374	0.875074	0.853128	0.839874	0.825027	0.836527	0.821235	0.820747	0.827943	0.837801	0.800326	0.827751	0.826301	0.83795	0.841541	0.810349	0.848778	0.834164	0.840895	0.831165	0.840502	0.831	0.825478	0.830432	0.830119	0.830743	0.851742	0.881937	0.875385	0.863985	0.868358	0.870332	0.894466	0.888582	0.85973	0.893782	0.868142	0.897664	0.876095	0.869703	0.862061	0.887411	0.897409	0.895079	0.865771	0.893629	0.902171	0.869591	0.882219	0.883944	0.896855	0.862808	0.882191	0.913275	0.899714	0.881348	0.880295	0.884558	0.901325	0.877612	0.881524	0.873888	0.870339	0.882778	0.881105	0.881052	0.873026	0.877935	0.845403	0.883277	0.861626	0.860423	0.85169	0.901086	0.89968	0.890072	0.863642	0.874656	0.873689	0.869227	0.850231	0.879274	0.870134	0.879911	0.875357	0.903605	0.858411	0.869202	0.839265	0.813553	0.802908	0.867921	0.84775	0.790671	0.817998	0.832501	0.815315	0.835013	0.874391	0.857217	0.838596	0.854922	0.848716	0.848855	0.839512	0.841685	0.849936	0.864989	0.834191	0.834482	0.883958	0.869989	0.853319	0.844326	0.86438	0.870088	0.870462	0.867208	0.88645	0.877208	0.879928	0.870135	0.895909	0.887183	0.887754	0.890113	0.878817	0.898513	0.895347	0.873649	0.885698	0.864956	0.861252	0.862169	0.873643
Bahía Solano (o Ciudad Mutis)	0.832082	0.784584	0	0.727253	0.762875	0.726158	0.773579	0.79903	0.833579	0.829653	0.849406	0.795854	0.847068	0.847289	0.828527	0.840195	0.832096	0.824569	0.822049	0.839708	0.826487	0.835268	0.787862	0.782404	0.829144	0.826703	0.837388	0.833561	0.821363	0.837877	0.836041	0.83272	0.829678	0.834025	0.823403	0.87058	0.870648	0.876288	0.849592	0.825567	0.842382	0.843513	0.857958	0.855418	0.861943	0.865517	0.867728	0.804724	0.851273	0.839899	0.798523	0.830716	0.842773	0.830429	0.820791	0.821485	0.868126	0.837814	0.829608	0.836581	0.856906	0.831627	0.848062	0.836604	0.834773	0.844245	0.839056	0.868855	0.863443	0.856016	0.84536	0.806353	0.829886	0.812848	0.854242	0.83938	0.826217	0.835856	0.869092	0.824363	0.832513	0.849784	0.850625	0.816425	0.837843	0.851975	0.832712	0.81946	0.81228	0.851192	0.830293	0.840811	0.826936	0.826821	0.826885	0.831598	0.843137	0.816725	0.851934	0.863927	0.825783	0.840261	0.839208	0.824001	0.834078	0.818055	0.814544	0.845585	0.875232	0.835404	0.865831	0.855482	0.852392	0.854633	0.851243	0.837434	0.867304	0.858736	0.855673	0.852659	0.858092	0.870332	0.840878	0.829425	0.858731	0.854439	0.847894	0.842135	0.869671	0.860951	0.858876	0.849817	0.854593	0.858328	0.876641	0.873261	0.840985	0.862048	0.835917	0.854111	0.864173	0.84101	0.842952	0.869689	0.859335	0.858658	0.83051	0.855306	0.876411	0.819158	0.875493	0.854169	0.857952	0.823637	0.839201	0.864428	0.849197	0.871989	0.865794	0.834956	0.863943	0.866346	0.864229	0.851227	0.836928	0.865555	0.848698	0.860792	0.833293	0.856093	0.791314	0.850099	0.855979	0.825216	0.85478	0.880604	0.845565	0.849926	0.827421	0.83309	0.837178	0.847385	0.852231	0.855401	0.84544	0.861626	0.861431	0.857085	0.861667	0.844615	0.82045	0.825171	0.827538	0.859203	0.878898	0.856643	0.869823	0.84581	0.832895	0.855932	0.862056	0.838558	0.832004	0.845866	0.836272	0.849416	0.850834	0.853382	0.841168	0.856052	0.852727	0.846378	0.80153	0.839746	0.844819	0.837531	0.864903	0.871673	0.85498	0.865405	0.840212	0.841162	0.86132	0.847654	0.873371	0.855506	0.875205	0.86963	0.856659	0.835706	0.852552	0.879166	0.885013	0.859604	0.826346	0.864003	0.871587
Coredó	0.793783	0.788506	0.727253	0	0.794107	0.767108	0.802858	0.796479	0.836743	0.817718	0.848444	0.803168	0.832369	0.829176	0.812015	0.838814	0.836592	0.815628	0.809767	0.838132	0.81202	0.825696	0.75498	0.793103	0.800023	0.807239	0.834065	0.843551	0.837681	0.838368	0.831832	0.808049	0.806179	0.816284	0.848951	0.863116	0.862358	0.869581	0.812439	0.82791	0.812326	0.820195	0.847307	0.860371	0.851078	0.84732	0.852096	0.768732	0.809795	0.808159	0.795305	0.833833	0.843454	0.839277	0.832299	0.827327	0.839006	0.839606	0.82171	0.815309	0.847563	0.855743	0.833329	0.849383	0.846164	0.842526	0.863412	0.859654	0.848387	0.843047	0.852385	0.831201	0.814073	0.841619	0.814036	0.825359	0.819155	0.832467	0.829724	0.850479	0.853926	0.840889	0.831475	0.830765	0.809105	0.860356	0.83232	0.830996	0.813411	0.852104	0.837648	0.841506	0.824084	0.832975	0.825126	0.819764	0.845552	0.821564	0.860862	0.833236	0.843701	0.840529	0.837438	0.832373	0.843819	0.830838	0.833838	0.836708	0.874361	0.847235	0.845907	0.835996	0.871239	0.834805	0.847279	0.838648	0.863563	0.845049	0.873888	0.853226	0.850135	0.865315	0.850541	0.824966	0.854159	0.882251	0.858145	0.838104	0.852627	0.84371	0.854248	0.817716	0.86565	0.834236	0.862056	0.880377	0.856369	0.884637	0.841551	0.841831	0.850613	0.851541	0.854203	0.878222	0.852846	0.853247	0.842625	0.848178	0.856883	0.852659	0.859012	0.862423	0.824946	0.85121	0.843934	0.856431	0.825329	0.869802	0.839838	0.847901	0.849781	0.852935	0.855745	0.830769	0.837998	0.878435	0.84952	0.862007	0.843966	0.854224	0.836645	0.856144	0.856817	0.832288	0.837212	0.864093	0.862502	0.84022	0.819957	0.863643	0.865296	0.851358	0.836683	0.862475	0.845982	0.853661	0.868405	0.861031	0.853369	0.856209	0.82538	0.830771	0.853383	0.84341	0.851703	0.8346	0.844312	0.850121	0.856858	0.874522	0.883846	0.854941	0.862472	0.869224	0.844903	0.854173	0.865771	0.85631	0.833806	0.869426	0.852094	0.852235	0.837034	0.850957	0.85662	0.841276	0.85164	0.855521	0.842538	0.854043	0.833587	0.844251	0.861609	0.820829	0.851267	0.875547	0.863379	0.856835	0.851119	0.843278	0.839956	0.841863	0.877893	0.849134	0.8312	0.872906	0.869731
Tutunendo	0.824985	0.792963	0.762875	0.794107	0	0.789681	0.7631	0.742126	0.822218	0.81559	0.814424	0.823319	0.844857	0.82293	0.833137	0.836857	0.806324	0.828078	0.807844	0.788581	0.815766	0.824966	0.795524	0.793452	0.79941	0.819614	0.848961	0.809445	0.842952	0.837265	0.836437	0.796039	0.821935	0.816845	0.827727	0.841004	0.863151	0.845186	0.857661	0.814414	0.833846	0.839098	0.84567	0.841854	0.833262	0.846778	0.842314	0.807883	0.841356	0.80274	0.799683	0.821954	0.822871	0.815151	0.784171	0.823048	0.846026	0.799849	0.810402	0.828713	0.816248	0.842957	0.833395	0.813701	0.836568	0.790489	0.806205	0.813451	0.833967	0.823379	0.82257	0.814855	0.848188	0.788985	0.817456	0.801031	0.798461	0.800133	0.82497	0.83001	0.810654	0.823104	0.847607	0.816172	0.83232	0.862	0.835455	0.820484	0.844306	0.85794	0.828342	0.872487	0.831464	0.882804	0.850233	0.854839	0.867943	0.847826	0.855134	0.861173	0.816769	0.842374	0.820459	0.831265	0.844744	0.882531	0.861994	0.824605	0.844422	0.861026	0.815597	0.853099	0.835288	0.820011	0.818674	0.845895	0.854054	0.851104	0.8455	0.838844	0.835163	0.829503	0.824698	0.851537	0.815314	0.853204	0.833813	0.823674	0.848159	0.865293	0.898521	0.847576	0.85864	0.873068	0.867373	0.890768	0.877456	0.875698	0.887108	0.86875	0.881202	0.864898	0.842181	0.855138	0.875807	0.872825	0.897533	0.862243	0.870927	0.847234	0.85108	0.875642	0.869956	0.870217	0.880846	0.887189	0.874181	0.875293	0.859762	0.859698	0.892759	0.869995	0.877876	0.85256	0.843469	0.853101	0.889189	0.862184	0.854642	0.857065	0.816435	0.857229	0.874725	0.85918	0.877035	0.882022	0.853649	0.861218	0.837359	0.863922	0.859846	0.862987	0.858285	0.879458	0.866539	0.892721	0.883412	0.883503	0.870117	0.849387	0.827171	0.797136	0.828256	0.864586	0.892322	0.867263	0.83752	0.833569	0.805545	0.846365	0.831235	0.821061	0.828424	0.833472	0.793463	0.836296	0.82197	0.826751	0.830193	0.822198	0.857536	0.863142	0.868505	0.876144	0.844311	0.840064	0.841783	0.884072	0.867246	0.887619	0.868786	0.876998	0.884729	0.868659	0.885383	0.866843	0.867184	0.855577	0.886982	0.875068	0.867924	0.873001	0.890651	0.892087	0.859758	0.871939	0.852898
Arusí	0.812425	0.768797	0.726158	0.767108	0.789681	0	0.77776	0.793033	0.847881	0.863646	0.822688	0.799174	0.852334	0.839954	0.835638	0.846008	0.83757	0.836745	0.843014	0.837793	0.836258	0.849553	0.794129	0.832242	0.81506	0.851014	0.87566	0.846785	0.830974	0.849981	0.844201	0.80261	0.798933	0.832906	0.821292	0.865148	0.836182	0.898952	0.825285	0.852394	0.836071	0.849086	0.850661	0.847586	0.836762	0.848475	0.868352	0.809886	0.815102	0.843907	0.811968	0.840526	0.865252	0.859535	0.850755	0.839758	0.851245	0.866722	0.843086	0.833617	0.867756	0.855961	0.851618	0.836871	0.85354	0.854187	0.831731	0.851239	0.870947	0.839879	0.863999	0.841314	0.849096	0.804631	0.853901	0.832567	0.832082	0.874056	0.863404	0.862635	0.860299	0.847313	0.854795	0.834189	0.849115	0.822248	0.846714	0.840968	0.872104	0.864992	0.864182	0.872487	0.823116	0.884594	0.860417	0.850108	0.870307	0.847997	0.847241	0.874338	0.852305	0.865144	0.826672	0.861641	0.859869	0.832675	0.868571	0.837657	0.846946	0.844278	0.865461	0.840763	0.831876	0.857653	0.862323	0.875901	0.849642	0.834899	0.866522	0.858322	0.826681	0.854708	0.85904	0.841574	0.817439	0.853174	0.843648	0.850476	0.870939	0.858894	0.888444	0.861804	0.857839	0.839871	0.869541	0.869474	0.849632	0.891102	0.857519	0.824849	0.871469	0.864755	0.844189	0.885817	0.852478	0.854091	0.875346	0.851789	0.872188	0.834921	0.878667	0.873626	0.876892	0.843596	0.869585	0.885802	0.852111	0.886767	0.865625	0.878092	0.871263	0.896102	0.87796	0.848463	0.827759	0.890694	0.863014	0.871712	0.88805	0.864701	0.818286	0.885889	0.891078	0.865266	0.860342	0.870875	0.839034	0.858125	0.881649	0.882726	0.873486	0.885302	0.869917	0.840058	0.851928	0.880605	0.875083	0.884306	0.858453	0.847605	0.877314	0.849624	0.835045	0.862962	0.896239	0.864846	0.880096	0.855801	0.846853	0.851865	0.857258	0.844902	0.867877	0.847545	0.86203	0.890538	0.884409	0.848924	0.848941	0.839917	0.83951	0.83569	0.850503	0.865742	0.855126	0.870567	0.880857	0.876291	0.844101	0.880468	0.855469	0.868085	0.863583	0.889457	0.872766	0.87297	0.896055	0.873644	0.854899	0.892482	0.883236	0.856189	0.858778	0.868068	0.83384	0.871102	0.877801
Cérteguí	0.822591	0.763081	0.773579	0.802858	0.7631	0.77776	0	0.744498	0.809988	0.838805	0.80948	0.824936	0.83155	0.813002	0.826747	0.817244	0.7883	0.813653	0.803716	0.829809	0.808956	0.80035	0.784972	0.797124	0.801515	0.813976	0.814672	0.829728	0.832129	0.845304	0.840695	0.810686	0.846811	0.846666	0.812884	0.867322	0.847034	0.859069	0.873491	0.843857	0.81108	0.83583	0.854145	0.832692	0.823391	0.825904	0.87041	0.817792	0.86755	0.843036	0.828182	0.855928	0.839795	0.866854	0.807251	0.846124	0.84245	0.805633	0.823292	0.840633	0.815774	0.842934	0.832251	0.827296	0.848504	0.840536	0.833394	0.81088	0.814191	0.812475	0.833948	0.855799	0.825293	0.842064	0.82182	0.809055	0.850431	0.826416	0.822429	0.848983	0.850155	0.85002	0.822556	0.853495	0.860946	0.860598	0.870799	0.860969	0.850177	0.859198	0.85444	0.870138	0.845273	0.86566	0.836368	0.846927	0.868262	0.842726	0.824671	0.843429	0.83258	0.847411	0.851455	0.817821	0.835988	0.84004	0.841975	0.814647	0.834434	0.856336	0.854003	0.876308	0.816237	0.822691	0.851141	0.837333	0.854581	0.826552	0.876217	0.850064	0.841269	0.837943	0.841421	0.828261	0.835508	0.877301	0.860301	0.872259	0.878903	0.873874	0.866739	0.853071	0.861265	0.865696	0.85547	0.882277	0.857104	0.890132	0.857118	0.852781	0.864604	0.86323	0.858642	0.852244	0.881588	0.856712	0.839175	0.834274	0.853826	0.846333	0.880482	0.867296	0.864027	0.846314	0.870867	0.863163	0.861687	0.849669	0.8708	0.864811	0.860353	0.848751	0.854257	0.843847	0.856228	0.872868	0.841808	0.849878	0.859342	0.854384	0.860575	0.833165	0.850843	0.8473	0.879624	0.853392	0.847681	0.860959	0.866615	0.870935	0.87113	0.876559	0.856952	0.850596	0.855205	0.848321	0.874159	0.855867	0.839275	0.834723	0.84531	0.814684	0.801593	0.8808	0.85737	0.867638	0.866044	0.832815	0.829961	0.848525	0.851263	0.813694	0.826534	0.867986	0.836868	0.854821	0.835512	0.85179	0.852617	0.868723	0.869716	0.857147	0.818239	0.837485	0.882908	0.850405	0.86217	0.884308	0.853506	0.854107	0.850185	0.869085	0.853513	0.849115	0.854037	0.877226	0.870914	0.877339	0.882884	0.858888	0.862067	0.855641	0.878786	0.858356	0.87398	0.830107	0.856742
Nóvita	0.800023	0.797763	0.79903	0.796479	0.742126	0.793033	0.744498	0	0.841041	0.859291	0.852806	0.796328	0.844719	0.820269	0.799292	0.845974	0.808115	0.804063	0.81157	0.818508	0.824805	0.790439	0.787741	0.76856	0.787188	0.83352	0.824245	0.8242	0.821222	0.809054	0.828232	0.800819	0.819232	0.820411	0.83699	0.827487	0.821401	0.820569	0.838465	0.837092	0.827786	0.850692	0.87125	0.855915	0.853331	0.861948	0.866521	0.795296	0.85335	0.834628	0.84222	0.818927	0.824415	0.849486	0.804448	0.830874	0.840695	0.824455	0.845245	0.827273	0.817567	0.832143	0.8151	0.826722	0.846267	0.815597	0.812257	0.814886	0.841597	0.838194	0.834579	0.834729	0.827713	0.79972	0.816057	0.833979	0.821483	0.837015	0.832955	0.823929	0.836671	0.819383	0.845425	0.846672	0.832247	0.847359	0.862112	0.83511	0.866935	0.86911	0.846292	0.857143	0.865498	0.859089	0.840233	0.864779	0.858996	0.85795	0.863549	0.857481	0.84519	0.848535	0.86227	0.821518	0.850735	0.860964	0.865324	0.840184	0.841593	0.857849	0.848917	0.859235	0.8704	0.853627	0.870429	0.870586	0.861709	0.843884	0.871458	0.859744	0.872307	0.864151	0.847779	0.883737	0.838157	0.84989	0.856124	0.851047	0.831046	0.871576	0.872325	0.848151	0.873255	0.822858	0.832098	0.878261	0.855791	0.876534	0.872171	0.82603	0.862586	0.859055	0.86955	0.850858	0.875872	0.868957	0.879462	0.844831	0.851718	0.852283	0.875577	0.876503	0.856616	0.864194	0.866772	0.869475	0.875585	0.856471	0.866419	0.876963	0.859546	0.852512	0.873872	0.859667	0.859153	0.877958	0.860799	0.856558	0.884345	0.868921	0.844874	0.875794	0.880455	0.863112	0.889332	0.875876	0.868863	0.869701	0.875589	0.883085	0.850641	0.89112	0.8745	0.859221	0.874862	0.860401	0.863882	0.874924	0.868207	0.878398	0.856702	0.857021	0.834104	0.856118	0.873546	0.849371	0.849714	0.875821	0.863162	0.839748	0.857636	0.85042	0.846339	0.835424	0.829965	0.885086	0.861913	0.830168	0.851085	0.849015	0.84274	0.865225	0.850781	0.860034	0.845522	0.863601	0.86193	0.855672	0.892434	0.868527	0.880371	0.874201	0.866933	0.885437	0.837254	0.844486	0.857543	0.856619	0.877261	0.867351	0.879614	0.854122	0.891801	0.868352	0.870826	0.871638	0.871395
Cartago	0.86974	0.822853	0.833579	0.836743	0.822218	0.847881	0.809988	0.841041	0	0.688293	0.725516	0.77502	0.728005	0.729015	0.784979	0.731135	0.74538	0.766506	0.76634	0.775504	0.759773	0.767607	0.786205	0.859606	0.778771	0.766504	0.781816	0.807607	0.819782	0.790858	0.82062	0.827225	0.834408	0.821079	0.846941	0.844501	0.834721	0.835427	0.824331	0.876736	0.878079	0.903144	0.893809	0.890782	0.882139	0.852534	0.881991	0.845589	0.836732	0.814077	0.830875	0.822513	0.807554	0.788511	0.809319	0.803611	0.807803	0.811032	0.790939	0.798635	0.793014	0.810979	0.771809	0.811701	0.791385	0.77747	0.776422	0.804179	0.80275	0.765127	0.782891	0.802903	0.782245	0.767935	0.787604	0.776954	0.75906	0.763259	0.796266	0.80186	0.781868	0.767726	0.794205	0.787993	0.79715	0.822489	0.81386	0.818073	0.803126	0.839	0.801971	0.831546	0.820899	0.8218	0.83053	0.801113	0.835626	0.816348	0.789524	0.81425	0.825596	0.817453	0.817258	0.83476	0.814588	0.813994	0.813999	0.905913	0.847639	0.844998	0.874956	0.871052	0.854669	0.885509	0.872537	0.864865	0.87943	0.88745	0.894604	0.874485	0.887003	0.881983	0.876358	0.858266	0.859365	0.87699	0.849213	0.845516	0.852574	0.833655	0.873928	0.83493	0.844536	0.87794	0.854037	0.874927	0.846488	0.865312	0.837216	0.853091	0.871337	0.854692	0.834837	0.873397	0.882424	0.855792	0.848824	0.827614	0.849938	0.822016	0.815738	0.85145	0.870095	0.855871	0.856927	0.85795	0.842675	0.858182	0.866949	0.854526	0.842122	0.835409	0.856392	0.84799	0.835874	0.846288	0.832228	0.819134	0.852437	0.847358	0.855798	0.816338	0.850734	0.85183	0.789841	0.844824	0.824103	0.850247	0.819905	0.859547	0.854927	0.830891	0.81346	0.838942	0.808608	0.866284	0.861416	0.837433	0.825898	0.845455	0.849066	0.837994	0.828614	0.871478	0.873218	0.869491	0.876671	0.87611	0.854993	0.854222	0.880009	0.862652	0.846875	0.873352	0.860186	0.854485	0.866131	0.862021	0.864696	0.875172	0.877916	0.878934	0.86795	0.848547	0.821859	0.835743	0.854378	0.870112	0.826516	0.854268	0.87004	0.851312	0.853684	0.835749	0.86495	0.863576	0.885278	0.855647	0.866839	0.848542	0.844954	0.847928	0.842209	0.847356	0.849748	0.857729	0.854219
Toro	0.872503	0.832943	0.829653	0.817718	0.81559	0.863646	0.838805	0.859291	0.688293	0	0.707637	0.762789	0.724466	0.719566	0.749424	0.741841	0.736519	0.77231	0.733453	0.756079	0.733041	0.761771	0.786026	0.845769	0.776869	0.758222	0.798648	0.789013	0.813485	0.775804	0.825918	0.837393	0.821518	0.805801	0.823406	0.830962	0.820554	0.835887	0.813173	0.84178	0.883195	0.87402	0.86593	0.858962	0.853756	0.849964	0.865079	0.848672	0.83567	0.826673	0.839205	0.789795	0.798196	0.804864	0.822545	0.79229	0.790847	0.793318	0.76303	0.796765	0.791212	0.819519	0.76723	0.799625	0.776459	0.770638	0.783604	0.787907	0.808398	0.784742	0.78544	0.8008	0.79144	0.756568	0.772744	0.749475	0.728548	0.75535	0.765542	0.764402	0.735699	0.743278	0.776841	0.73626	0.791849	0.827105	0.785122	0.834798	0.807269	0.849483	0.831312	0.830506	0.798509	0.821878	0.822881	0.795038	0.82077	0.844588	0.816666	0.827402	0.809244	0.824829	0.838577	0.81592	0.806955	0.82347	0.827625	0.859576	0.841287	0.865565	0.871379	0.838911	0.866879	0.849341	0.855317	0.877418	0.854249	0.882405	0.892924	0.858518	0.887493	0.876819	0.864513	0.835572	0.849001	0.8631	0.844294	0.827131	0.855428	0.834261	0.863066	0.813086	0.863776	0.867827	0.851897	0.860156	0.849174	0.842532	0.847655	0.853206	0.848622	0.860084	0.827066	0.852621	0.847384	0.851262	0.832537	0.830854	0.836452	0.840989	0.835526	0.83878	0.864763	0.839779	0.857888	0.862643	0.826813	0.853326	0.836306	0.83847	0.859349	0.846052	0.862632	0.835049	0.814787	0.81478	0.846536	0.832936	0.845735	0.828872	0.840372	0.842916	0.857838	0.83177	0.818556	0.846008	0.817509	0.857426	0.823775	0.857775	0.812144	0.82237	0.829096	0.867328	0.838867	0.859196	0.840907	0.827648	0.829102	0.83126	0.832996	0.862265	0.849348	0.860454	0.867789	0.85325	0.875399	0.877759	0.83609	0.855993	0.851984	0.867685	0.84445	0.863907	0.866788	0.862356	0.859923	0.846815	0.864872	0.85953	0.832362	0.857325	0.853082	0.836378	0.827751	0.845618	0.838457	0.874859	0.855538	0.856134	0.855158	0.854558	0.857723	0.81766	0.86729	0.857968	0.855071	0.85846	0.845391	0.830854	0.827245	0.845922	0.843442	0.843737	0.849866	0.859311	0.85588
